entry_index,exit_index,entry_time,exit_time,entry_price,exit_price,direction,pnl,pnl_percent,bars_held
12,13,12,13,2004.8551292679724,2000.784197976331,1,-8.076570618885803,-0.40285058511109384,1
13,16,13,16,2004.7897719462535,2000.7749017419767,-1,0.009305530588573419,0.0004641649074027145,3
16,22,16,22,2004.7804571008191,1999.857427533968,1,-8.927667451486043,-0.44531895848569103,6
22,28,22,28,2003.861146107609,2000.7897860355588,-1,-0.9332908600928569,-0.04657462728421694,6
28,34,28,34,2004.795371192787,2002.1049935158073,1,-6.697278041688145,-0.3340629242227094,6
34,43,34,43,2006.113211721044,2002.7044680436484,-1,-0.600074002368987,-0.029912270098365168,9
43,46,43,46,2006.7138863980897,2003.917422217173,1,-6.807095489531964,-0.3392160454797182,3
46,55,46,55,2007.9292689082981,2005.4583951320258,-1,-1.542513887767968,-0.07682112670266647,9
55,57,55,57,2009.4733268540117,2005.8510057485837,1,-7.637645438030596,-0.38008195162201674,2
57,61,57,61,2009.8667234778097,2007.0531118672357,-1,-1.203308224770974,-0.05987005062150627,4
61,69,61,69,2011.0712362153179,2008.4390377124564,1,-6.6517087767892304,-0.33075450819470903,8
69,76,69,76,2012.4599366868554,2009.3657313055437,-1,-0.9276202866807317,-0.04609385110085161,7
76,81,76,81,2013.3884855223712,2008.1462668430759,1,-9.263753431660767,-0.4601075996149495,5
81,89,81,89,2012.1665796896084,2009.5405477251322,-1,-1.3956751629385717,-0.06936181015161604,8
89,96,89,96,2013.5636519247819,2010.7987953610602,1,-6.789219011007493,-0.33717429317506914,7
96,104,96,104,2014.824418574996,2012.0986027519336,-1,-1.3011071982646811,-0.06457670386905981,8
104,105,104,105,2016.1268281828684,2013.7162941425063,1,-6.440377162687483,-0.31944305649125176,1
105,129,105,129,2017.7477581948435,2017.425574585587,-1,-3.712989723523804,-0.18401654559862282,24
129,130,129,130,2021.464464624797,2017.5994172630108,1,-7.904111243674118,-0.39100916103124256,1
130,132,130,132,2021.638655335609,2017.4038894527757,-1,0.19572333804485975,0.009681420442189163,2
132,144,132,144,2021.4427360783068,2020.6114543639624,1,-4.873335904786683,-0.24108206568548077,12
144,188,144,188,2024.656722540867,2033.4939679243132,-1,-12.895396073911495,-0.6369176527726768,44
188,189,188,189,2037.5650269191565,2034.0632393285518,1,-7.573415856852344,-0.3716895292565714,1
189,218,189,218,2038.1354380058863,2042.1527056080095,-1,-8.097555745737079,-0.39730214168984446,29
218,220,218,220,2046.2410994130303,2043.0677376333763,1,-7.262670616700394,-0.3549274139192938,2
220,222,220,222,2047.157963334344,2043.7365545439711,-1,-0.6694857275054353,-0.032703178723687686,2
222,224,222,224,2047.8281192177326,2044.6610499756957,1,-7.259558411230287,-0.35450037740488827,2
224,226,224,226,2048.7544654911626,2044.2539542587624,-1,0.4075028126502609,0.01989027087013901,2
226,229,226,229,2048.346554767789,2044.4506326548888,1,-7.988719300322731,-0.3900081888842473,3
229,230,229,230,2048.543626914458,2043.9962544097423,-1,0.4548326233914679,0.022202730633398445,1
230,231,230,231,2048.088339003155,2044.3633571320227,1,-7.8174335672674635,-0.3816941592994159,1
231,234,231,234,2048.4561766658203,2044.3853555581738,-1,-0.022020424577542386,-0.0010749766008362471,3
234,235,234,235,2048.4782191328645,2043.9063527916474,1,-8.664250913141686,-0.4229603630742691,1
235,238,235,238,2047.9982574018406,2044.3048499217825,-1,-0.3988956272655102,-0.019477342122915797,3
238,240,238,240,2048.3975523240283,2043.8986962892468,1,-8.591152283394786,-0.4194084431338836,2
240,242,240,242,2047.990585571107,2044.1245070872062,-1,-0.22603660875754894,-0.0110369945228296,2
242,243,242,243,2048.216848442736,2043.8694790110198,1,-8.439455759170045,-0.41203917278517566,1
243,246,243,246,2047.9613097998306,2044.72864966074,-1,-0.860029820370058,-0.04199443691903135,3
246,261,246,261,2048.8222005109114,2047.7659954796268,1,-5.1527932272752,-0.2515002632239272,15
261,263,261,263,2051.8656271022082,2047.1275121384201,-1,0.6391218245474919,0.031148327458952834,2
